"protein_name","sample_ID","psm","study","material","material2","x_label"
"Ubiquitin-60S ribosomal protein L40","1-ZH1670",3,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Urocanate hydratase","1-ZH1670",3,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Xanthine dehydrogenase/oxidase","1-ZH1670",3,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Calcium/calmodulin-dependent protein kinase type II subunit alpha","2-ZH1672",3,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Carboxypeptidase Z","2-ZH1672",3,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Cartilage-associated protein","2-ZH1672",3,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Collagen alpha-1(XXII) chain","2-ZH1672",3,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Collagen alpha-2(VI) chain","2-ZH1672",3,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Complement component C7","2-ZH1672",3,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Extracellular matrix protein 2","2-ZH1672",3,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Protein-lysine 6-oxidase","2-ZH1672",3,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Transthyretin","2-ZH1672",3,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Ubiquitin-60S ribosomal protein L40","2-ZH1672",3,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Acid ceramidase","2-ZH1673",3,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"All-trans-retinol dehydrogenase [NAD(+)] ADH1B","2-ZH1673",3,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Alpha-1-acid glycoprotein 2","2-ZH1673",3,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Beta-hexosaminidase subunit beta","2-ZH1673",3,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Collagen alpha-1(XV) chain","2-ZH1673",3,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Collagen alpha-1(XVIII) chain","2-ZH1673",3,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"HLA class II histocompatibility antigen, DRB1 beta chain","2-ZH1673",3,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Histone H4","2-ZH1673",3,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Immunoglobulin kappa constant","2-ZH1673",3,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Immunoglobulin kappa variable 3-20","2-ZH1673",3,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Mitochondrial 2-oxoglutarate/malate carrier protein","2-ZH1673",3,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Mitochondrial carrier homolog 2","2-ZH1673",3,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Short-chain dehydrogenase/reductase family 9C member 7","2-ZH1673",3,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Tripeptidyl-peptidase 1","2-ZH1673",3,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"C-reactive protein","2-ZH1673",3,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Adipocyte enhancer-binding protein 1","3-ZH1676",3,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Antithrombin-III","3-ZH1676",3,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Collagen alpha-1(VI) chain","3-ZH1676",3,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Growth arrest-specific protein 6","3-ZH1676",3,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Histidine-rich glycoprotein","3-ZH1676",3,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Matrix remodeling-associated protein 8","3-ZH1676",3,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Procollagen C-endopeptidase enhancer 1","3-ZH1676",3,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Sphingomyelin phosphodiesterase 3","3-ZH1676",3,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Transmembrane protein 119","3-ZH1676",3,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Alpha-1-antitrypsin","1-ZH1656",2,"Seili","coffin_bedding","Coffin
bedding","1-ZH1656

Coffin
bedding"
"Hemoglobin subunit beta","1-ZH1656",2,"Seili","coffin_bedding","Coffin
bedding","1-ZH1656

Coffin
bedding"
"Keratin, type II cytoskeletal 1","1-ZH1656",2,"Seili","coffin_bedding","Coffin
bedding","1-ZH1656

Coffin
bedding"
"Titin","1-ZH1656",2,"Seili","coffin_bedding","Coffin
bedding","1-ZH1656

Coffin
bedding"
"ATP synthase subunit gamma, mitochondrial","1-ZH1657",2,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Acid ceramidase","1-ZH1657",2,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Calcium-binding mitochondrial carrier protein Aralar1","1-ZH1657",2,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Eosinophil cationic protein","1-ZH1657",2,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Phosphoglucomutase-1","1-ZH1657",2,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Phospholipid hydroperoxide glutathione peroxidase","1-ZH1657",2,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Platelet glycoprotein 4","1-ZH1657",2,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Protein NipSnap homolog 3B","1-ZH1657",2,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Telethonin","1-ZH1657",2,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Ubiquitin-60S ribosomal protein L40","1-ZH1657",2,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Cathepsin G","1-ZH1657",2,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"MYG_HUMAN","1-ZH1657",2,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Alpha-1-antichymotrypsin","1-ZH1658",2,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Amyloid-beta A4 protein","1-ZH1658",2,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Complement component C6","1-ZH1658",2,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Complement component C8 gamma chain","1-ZH1658",2,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Ferritin light chain","1-ZH1658",2,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Fibronectin","1-ZH1658",2,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Histidine-rich glycoprotein","1-ZH1658",2,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Insulin-like growth factor-binding protein complex acid labile subunit","1-ZH1658",2,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Interferon-induced transmembrane protein 5","1-ZH1658",2,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Matrix remodeling-associated protein 8","1-ZH1658",2,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Procollagen C-endopeptidase enhancer 1","1-ZH1658",2,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Protein-lysine 6-oxidase","1-ZH1658",2,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Sodium/potassium-transporting ATPase subunit beta-3","1-ZH1658",2,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Sphingomyelin phosphodiesterase 3","1-ZH1658",2,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"C-reactive protein","1-ZH1658",2,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Albumin","1-ZH1659",2,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Alpha-1-acid glycoprotein 2","1-ZH1659",2,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Aspartate aminotransferase, mitochondrial","1-ZH1659",2,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Carcinoembryonic antigen-related cell adhesion molecule 6","1-ZH1659",2,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Collagen alpha-1(VI) chain","1-ZH1659",2,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"DnaJ homolog subfamily B member 9","1-ZH1659",2,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Eosinophil cationic protein","1-ZH1659",2,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Mast cell carboxypeptidase A","1-ZH1659",2,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Protein NipSnap homolog 3B","1-ZH1659",2,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Telethonin","1-ZH1659",2,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Cathepsin G","1-ZH1659",2,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"ATP-dependent 6-phosphofructokinase, muscle type","1-ZH1670",2,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Adenosine deaminase 2","1-ZH1670",2,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Annexin A6","1-ZH1670",2,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Arylsulfatase B","1-ZH1670",2,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Betaine--homocysteine S-methyltransferase 1","1-ZH1670",2,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Carboxypeptidase Q","1-ZH1670",2,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Dipeptidyl peptidase 4","1-ZH1670",2,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Epoxide hydrolase 1","1-ZH1670",2,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Filamin-B","1-ZH1670",2,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"HLA class II histocompatibility antigen, DR alpha chain","1-ZH1670",2,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Heparin cofactor 2","1-ZH1670",2,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Inter-alpha-trypsin inhibitor heavy chain H6","1-ZH1670",2,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"L-xylulose reductase","1-ZH1670",2,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Matrilin-3","1-ZH1670",2,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Obscurin","1-ZH1670",2,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Peroxiredoxin-6","1-ZH1670",2,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Phospholipase B-like 1","1-ZH1670",2,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Plasma serine protease inhibitor","1-ZH1670",2,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Plectin","1-ZH1670",2,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Protein NipSnap homolog 3B","1-ZH1670",2,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Ribose-5-phosphate isomerase","1-ZH1670",2,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"S-methylmethionine--homocysteine S-methyltransferase BHMT2","1-ZH1670",2,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Serum amyloid A-2 protein","1-ZH1670",2,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Telethonin","1-ZH1670",2,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Triosephosphate isomerase","1-ZH1670",2,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"lactoferrin","1-ZH1670",2,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Cathepsin G","1-ZH1670",2,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"KCRM_HUMAN","1-ZH1670",2,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Adipocyte enhancer-binding protein 1","2-ZH1672",2,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Alkaline phosphatase, tissue-nonspecific isozyme","2-ZH1672",2,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Alpha-1-antitrypsin","2-ZH1672",2,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Apolipoprotein A-I","2-ZH1672",2,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Apolipoprotein A-IV","2-ZH1672",2,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Complement component C8 gamma chain","2-ZH1672",2,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Ectonucleoside triphosphate diphosphohydrolase 3","2-ZH1672",2,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Endoplasmin","2-ZH1672",2,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Ferritin light chain","2-ZH1672",2,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas","2-ZH1672",2,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Insulin-like growth factor-binding protein complex acid labile subunit","2-ZH1672",2,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Leucine-rich repeat-containing protein 15","2-ZH1672",2,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Platelet glycoprotein 4","2-ZH1672",2,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Procollagen C-endopeptidase enhancer 1","2-ZH1672",2,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Prolargin","2-ZH1672",2,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Secreted phosphoprotein 24","2-ZH1672",2,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Sodium/potassium-transporting ATPase subunit beta-3","2-ZH1672",2,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Unconventional myosin-Ic","2-ZH1672",2,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"ATP synthase subunit alpha, mitochondrial","2-ZH1673",2,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Amine oxidase [flavin-containing] B","2-ZH1673",2,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Apolipoprotein B-100","2-ZH1673",2,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Aspartate aminotransferase, mitochondrial","2-ZH1673",2,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Aspartyl aminopeptidase","2-ZH1673",2,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Cadherin-1","2-ZH1673",2,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Complement component C8 beta chain","2-ZH1673",2,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Dipeptidyl peptidase 1","2-ZH1673",2,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Fibrinogen gamma chain","2-ZH1673",2,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Filamin-C","2-ZH1673",2,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Heparin cofactor 2","2-ZH1673",2,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Keratin, type I cuticular Ha1","2-ZH1673",2,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Lactadherin","2-ZH1673",2,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Leucine-rich repeat-containing protein 15","2-ZH1673",2,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Leukocyte elastase inhibitor","2-ZH1673",2,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Mesoderm-specific transcript homolog protein","2-ZH1673",2,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Microsomal glutathione S-transferase 3","2-ZH1673",2,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Phospholipase B-like 1","2-ZH1673",2,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Protein CREG1","2-ZH1673",2,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Q8IUT8 TREMBL:Q8IUT8 Type I hair keratin 4 - Homo sapiens (Human).","2-ZH1673",2,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Receptor-type tyrosine-protein phosphatase S","2-ZH1673",2,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Ribonuclease 4","2-ZH1673",2,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Serpin B3","2-ZH1673",2,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Serpin B6","2-ZH1673",2,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Sodium/potassium-transporting ATPase subunit beta-3","2-ZH1673",2,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Steryl-sulfatase","2-ZH1673",2,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Transketolase","2-ZH1673",2,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Transmembrane glycoprotein NMB","2-ZH1673",2,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"K2C6B_HUMAN","2-ZH1673",2,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"KT33B_HUMAN","2-ZH1673",2,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Alkaline phosphatase, tissue-nonspecific isozyme","3-ZH1676",2,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Alpha-1-antitrypsin","3-ZH1676",2,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Anoctamin-6","3-ZH1676",2,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Apolipoprotein A-I","3-ZH1676",2,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Apolipoprotein A-IV","3-ZH1676",2,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Collagen alpha-1(II) chain","3-ZH1676",2,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Collagen alpha-1(XV) chain","3-ZH1676",2,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"EMILIN-1","3-ZH1676",2,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Insulin-like growth factor-binding protein complex acid labile subunit","3-ZH1676",2,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Interferon-induced transmembrane protein 5","3-ZH1676",2,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Lactadherin","3-ZH1676",2,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Prolargin","3-ZH1676",2,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Sodium/potassium-transporting ATPase subunit beta-3","3-ZH1676",2,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"GELS_HUMAN","3-ZH1676",2,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Collagen alpha-1(I) chain","NP6090",458,"Mickleburgh","bone","Bone
 ","NP6090

Bone
 "
"Collagen alpha-1(I) chain","NP6086",446,"Mickleburgh","bone","Bone
 ","NP6086

Bone
 "
"Collagen alpha-1(I) chain","NP6083",431,"Mickleburgh","bone","Bone
 ","NP6083

Bone
 "
"Collagen alpha-1(I) chain","NP6088",423,"Mickleburgh","bone","Bone
 ","NP6088

Bone
 "
"Collagen alpha-1(I) chain","NP6089",422,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Collagen alpha-1(I) chain","NP6085",420,"Mickleburgh","bone","Bone
 ","NP6085

Bone
 "
"Collagen alpha-2(I) chain","NP6090",397,"Mickleburgh","bone","Bone
 ","NP6090

Bone
 "
"Collagen alpha-2(I) chain","NP6086",380,"Mickleburgh","bone","Bone
 ","NP6086

Bone
 "
"Collagen alpha-2(I) chain","NP6088",374,"Mickleburgh","bone","Bone
 ","NP6088

Bone
 "
"Collagen alpha-1(I) chain","NP6084",369,"Mickleburgh","bone","Bone
 ","NP6084

Bone
 "
"Collagen alpha-2(I) chain","NP6089",368,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Collagen alpha-2(I) chain","NP6083",351,"Mickleburgh","bone","Bone
 ","NP6083

Bone
 "
"Collagen alpha-1(I) chain","NP6082",344,"Mickleburgh","bone","Bone
 ","NP6082

Bone
 "
"Collagen alpha-2(I) chain","NP6082",323,"Mickleburgh","bone","Bone
 ","NP6082

Bone
 "
"Collagen alpha-2(I) chain","NP6085",314,"Mickleburgh","bone","Bone
 ","NP6085

Bone
 "
"Collagen alpha-2(I) chain","NP6084",289,"Mickleburgh","bone","Bone
 ","NP6084

Bone
 "
"Biglycan","NP6085",110,"Mickleburgh","bone","Bone
 ","NP6085

Bone
 "
"Biglycan","NP6088",105,"Mickleburgh","bone","Bone
 ","NP6088

Bone
 "
"Biglycan","NP6090",105,"Mickleburgh","bone","Bone
 ","NP6090

Bone
 "
"Alpha-2-HS-glycoprotein","NP6088",102,"Mickleburgh","bone","Bone
 ","NP6088

Bone
 "
"Alpha-2-HS-glycoprotein","NP6083",96,"Mickleburgh","bone","Bone
 ","NP6083

Bone
 "
"Biglycan","NP6083",92,"Mickleburgh","bone","Bone
 ","NP6083

Bone
 "
"Alpha-2-HS-glycoprotein","NP6085",92,"Mickleburgh","bone","Bone
 ","NP6085

Bone
 "
"Alpha-2-HS-glycoprotein","NP6090",87,"Mickleburgh","bone","Bone
 ","NP6090

Bone
 "
"Biglycan","NP6089",69,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Prothrombin","NP6088",65,"Mickleburgh","bone","Bone
 ","NP6088

Bone
 "
"Chondroadherin","NP6083",63,"Mickleburgh","bone","Bone
 ","NP6083

Bone
 "
"Chondroadherin","NP6088",61,"Mickleburgh","bone","Bone
 ","NP6088

Bone
 "
"Prothrombin","NP6083",57,"Mickleburgh","bone","Bone
 ","NP6083

Bone
 "
"Prothrombin","NP6085",54,"Mickleburgh","bone","Bone
 ","NP6085

Bone
 "
"Alpha-2-HS-glycoprotein","NP6089",54,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Vimentin","NP6089",50,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Alpha-2-HS-glycoprotein","NP6086",48,"Mickleburgh","bone","Bone
 ","NP6086

Bone
 "
"Prothrombin","NP6090",48,"Mickleburgh","bone","Bone
 ","NP6090

Bone
 "
"Alpha-2-HS-glycoprotein","NP6084",45,"Mickleburgh","bone","Bone
 ","NP6084

Bone
 "
"Albumin","NP6089",44,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Biglycan","NP6082",43,"Mickleburgh","bone","Bone
 ","NP6082

Bone
 "
"Hemoglobin subunit beta","NP6089",43,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Lumican","NP6085",42,"Mickleburgh","bone","Bone
 ","NP6085

Bone
 "
"Prothrombin","NP6089",42,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Alpha-2-HS-glycoprotein","NP6082",40,"Mickleburgh","bone","Bone
 ","NP6082

Bone
 "
"Chromogranin-A","NP6089",40,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Chondroadherin","NP6090",39,"Mickleburgh","bone","Bone
 ","NP6090

Bone
 "
"Pigment epithelium-derived factor","NP6088",38,"Mickleburgh","bone","Bone
 ","NP6088

Bone
 "
"Biglycan","NP6086",37,"Mickleburgh","bone","Bone
 ","NP6086

Bone
 "
"Alpha-1-antitrypsin","NP6089",37,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Pigment epithelium-derived factor","NP6083",35,"Mickleburgh","bone","Bone
 ","NP6083

Bone
 "
"Lumican","NP6090",35,"Mickleburgh","bone","Bone
 ","NP6090

Bone
 "
"Decorin","NP6085",30,"Mickleburgh","bone","Bone
 ","NP6085

Bone
 "
"Osteomodulin","NP6085",30,"Mickleburgh","bone","Bone
 ","NP6085

Bone
 "
"Lumican","NP6088",30,"Mickleburgh","bone","Bone
 ","NP6088

Bone
 "
"Lumican","NP6083",28,"Mickleburgh","bone","Bone
 ","NP6083

Bone
 "
"Osteomodulin","NP6083",28,"Mickleburgh","bone","Bone
 ","NP6083

Bone
 "
"Biglycan","NP6084",28,"Mickleburgh","bone","Bone
 ","NP6084

Bone
 "
"Lumican","NP6084",28,"Mickleburgh","bone","Bone
 ","NP6084

Bone
 "
"Chondroadherin","NP6085",28,"Mickleburgh","bone","Bone
 ","NP6085

Bone
 "
"Prolargin","NP6089",28,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Lumican","NP6089",27,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Chondroadherin","NP6089",26,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Decorin","NP6090",26,"Mickleburgh","bone","Bone
 ","NP6090

Bone
 "
"Albumin","NP6085",25,"Mickleburgh","bone","Bone
 ","NP6085

Bone
 "
"Osteomodulin","NP6088",25,"Mickleburgh","bone","Bone
 ","NP6088

Bone
 "
"Albumin","NP6090",25,"Mickleburgh","bone","Bone
 ","NP6090

Bone
 "
"Decorin","NP6089",24,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Haptoglobin","NP6089",24,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Osteomodulin","NP6090",24,"Mickleburgh","bone","Bone
 ","NP6090

Bone
 "
"Albumin","NP6088",23,"Mickleburgh","bone","Bone
 ","NP6088

Bone
 "
"Collagen alpha-3(VI) chain","NP6089",23,"Mickleburgh","bone","Bone
 ","NP6089

Bone
 "
"Collagen alpha-2(V) chain","NP6084",21,"Mickleburgh","bone","Bone
 ","NP6084

Bone
 "
"SPARC","NP6085",21,"Mickleburgh","bone","Bone
 ","NP6085

Bone
 "
"Lumican","NP6086",21,"Mickleburgh","bone","Bone
 ","NP6086

Bone
 "
"Pigment epithelium-derived factor","NP6090",21,"Mickleburgh","bone","Bone
 ","NP6090

Bone
 "
"Albumin","NP6083",19,"Mickleburgh","bone","Bone
 ","NP6083

Bone
 "
"Pigment epithelium-derived factor","NP6085",19,"Mickleburgh","bone","Bone
 ","NP6085

Bone
 "
"Collagen alpha-1(II) chain","NP6084",18,"Mickleburgh","bone","Bone
 ","NP6084

Bone
 "
"SPARC","NP6090",18,"Mickleburgh","bone","Bone
 ","NP6090

Bone
 "
"Lumican","NP6082",17,"Mickleburgh","bone","Bone
 ","NP6082

Bone
 "
